Transparent|透明|Transparent
Beanstalk|豆の木|Branche de haricot
Stairs (Up)|階段（上り）|Escalier (montée)
Stairs (Up)|階段（上り）|Escalier (descente)
Metal Ladder|鉄ばしご|Échelle en métal
Rope Ladder|縄ばしご|Échelle de corde
Rope|ロープ|Corde
Vines|ツタ|Plantes grimpantes
Beanstalk (Snow)|豆の木（雪）|Branche de haricot (neige)
Beanstalk (Dead)|豆の木（枯れ）|Branche de haricot (mort)
Stairs (Down)|階段（下り）|Escalier (descente)
Stairs (Up)|階段（下り）|Escalier (montée)
Metal Ladder|鉄ばしご|Échelle en métal
Rope Ladder|縄ばしご|Échelle de corde
Rope|ロープ|Corde
Vines|ツタ|Plantes grimpantes
Crumbling Wall|崩れた壁|Mur effondré
Dug-Up Ground|掘られた床|Sol creusé
Stairs (Up)|階段（上り）|Escalier (montée)
Stairs (Up)|階段（上り）|Escalier (montée)
Metal Ladder|鉄ばしご|Échelle en métal
Rope Ladder|縄ばしご|Échelle de corde
Rope|ロープ|Corde
Vines|ツタ（下り）|Plantes grimpantes (descente)
Crumbling Wall|崩れた壁|Mur effondré
Dug-Up Ground|掘られた床|Sol creusé
Stairs (Down)|階段（下り）|Escalier (descente)
Stairs (Down)|階段（下り）|Escalier (descente)
Hole (Metal Ladder)|穴（鉄ばしご）|Trou (échelle en métal)
Hole (Rope Ladder)|穴（縄ばしご）|Trou (échelle de corde)
Hole (Rope)|穴（ロープ）|Trou (corde)
Hole|穴|Trou
Log Bridge (V)|丸太の橋（縦）|Pont en rondins (V)
Log Bridge (H)|丸太の橋（横）|Pont en rondins (H)
Wood Bridge (V)|木の橋（縦）|Pont en bois (V)
Wood Bridge (H)|木の橋（横）|Pont en bois (H)
Stone Bridge (V)|石の橋（縦）|Pont en pierre (V)
Stone Bridge (H)|石の橋（横）|Pont en pierre (H)
Wood Bridge (V)|木の橋（縦）|Pont en bois (V)
Wood Bridge (H)|木の橋（横）|Pont en bois (H)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)
Gravel (Dirt Cave)|砂利（土洞窟）|Gravier (grotte de terre)
Gravel (Rock Cave)|砂利（岩洞窟）|Gravier (grotte de roche)
Gravel (Lava Cave)|砂利（溶岩洞窟）|Gravier (grotte de lave)
Gravel (Ice Cave)|砂利（氷洞窟）|Gravier (grotte de glace)
Small Sprouts|小さな芽|Petites pousses
Gravel (Crystal)|砂利（水晶）|Gravier (crystal)
Detritus (In Body)|床装飾（体内）|Détritus (dans le corps)
Detritus (Demonic World)|床装飾（魔界）|Détritus (monde démoniaque)
Boulder (Dirt Cave)|岩（土洞窟）|Rocher (grotte de terre)
Boulder (Rock Cave)|岩（岩洞窟）|Rocher (grotte de roche)
Boulder (Lava Cave)|岩（溶岩洞窟）|Rocher (grotte de lave)
Boulder (Ice Cave)|岩（氷洞窟）|Rocher (grotte de glace)
Boulder (Grass Maze)|岩（草迷宮）|Rocher (labyrinthe végétal)
Crystal|水晶|Crystal
Spherical Lump|球状突起物|Protubérance sphérique
Boulder (Demonic World)|岩（魔界）|Rocher (monde démoniaque)
Tall Rock (Dirt Cave)|大きな岩（土洞窟）|Grand rocher (grotte de terre)
