Transparent|透明|Transparent
Sign|立て札|Pancarte
Pier (H)|桟橋（横）|Ponton (H)
Pier (V)|桟橋（縦）|Ponton (V)
Pond|池|Mare
Pond|池|Mare
Pond (Ice)|池（氷）|Mare (glace)
Beanstalk|豆の木|Branche de haricot
Tent|テント|Tente
Igloo|氷の家|Igloo
Pyramid|ピラミッド|Pyramide
Giant Tree|大樹|Arbre géant
Giant Tree (Snow)|大樹（雪）|Arbre géant (neige)
Dirt|土砂|Poussière
Avalanche|雪崩|Avalanche
Beanstalk|豆の木|Branche de haricot
Cave|洞窟|Grotte
Cave|洞窟|Grotte
Cave (Collapsed)|洞窟（土砂崩れ）|Grotte (effondrée)
Mine|坑道|Mine
Tunnel|トンネル|Tunnel
Tunnel (Blocked)|トンネル（通行止め）|Tunnel (bloqué)
Shrine|ほこら|Autel
Shrine (Snow)|ほこら（雪）|Autel (neige)
Crater|クレーター|Cratère
Trail|山道|Chemin de montagne
Rock Mountain|岩山|Montagne rocheuse
Rock Mountain|岩山|Montagne rocheuse
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)
Volcano Crater (Lava)|火口（溶岩）|Cratère volcanique (lave)
Volcano Crater (Lava)|火口（溶岩）|Cratère volcanique (lave)
Rock Mountain|岩山|Montagne rocheuse
Rock Mountain|岩山|Montagne rocheuse
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)
Volcano Crater|火口|Cratère volcanique
Volcano Crater|火口|Cratère volcanique
Rock Mountain|岩山|Montagne rocheuse
Rock Mountain|岩山|Montagne rocheuse
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)
Volcano|火山|Volcan
Volcano|火山|Volcan
Rock Mountain|岩山|Montagne rocheuse
Rock Mountain|岩山|Montagne rocheuse
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)
Rock Mountain (Sandstone)|岩山（砂岩）|Montagne rocheuse (grès)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)
Rock Mountain (Snow)|岩山（雪）|Montagne rocheuse (neige)
Town A|町A|Ville A
